number,season,episode,airdate,title,link
92,4,20,22 Apr 96,"Shattered Mirror","https://www.tvmaze.com/episodes/44898/star-trek-deep-space-nine-4x20-shattered-mirror"
93,4,21,29 Apr 96,"The Muse","https://www.tvmaze.com/episodes/44899/star-trek-deep-space-nine-4x21-the-muse"
94,4,22,06 May 96,"For the Cause","https://www.tvmaze.com/episodes/44900/star-trek-deep-space-nine-4x22-for-the-cause"
95,4,23,13 May 96,"To the Death","https://www.tvmaze.com/episodes/44901/star-trek-deep-space-nine-4x23-to-the-death"
96,4,24,20 May 96,"The Quickening","https://www.tvmaze.com/episodes/44902/star-trek-deep-space-nine-4x24-the-quickening"
97,4,25,10 Jun 96,"Body Parts","https://www.tvmaze.com/episodes/44903/star-trek-deep-space-nine-4x25-body-parts"
98,4,26,17 Jun 96,"Broken Link","https://www.tvmaze.com/episodes/44904/star-trek-deep-space-nine-4x26-broken-link"
99,5,1,30 Sep 96,"Apocalypse Rising","https://www.tvmaze.com/episodes/44905/star-trek-deep-space-nine-5x01-apocalypse-rising"
100,5,2,07 Oct 96,"The Ship","https://www.tvmaze.com/episodes/44906/star-trek-deep-space-nine-5x02-the-ship"
101,5,3,14 Oct 96,"Looking for par'Mach in All the Wrong Places","https://www.tvmaze.com/episodes/44907/star-trek-deep-space-nine-5x03-looking-for-parmach-in-all-the-wrong-places"
102,5,4,21 Oct 96,"...Nor the Battle to the Strong","https://www.tvmaze.com/episodes/44908/star-trek-deep-space-nine-5x04-nor-the-battle-to-the-strong"
103,5,5,28 Oct 96,"The Assignment","https://www.tvmaze.com/episodes/44909/star-trek-deep-space-nine-5x05-the-assignment"
104,5,6,04 Nov 96,"Trials and Tribble-ations","https://www.tvmaze.com/episodes/44910/star-trek-deep-space-nine-5x06-trials-and-tribble-ations"
105,5,7,11 Nov 96,"Let He Who is Without Sin...","https://www.tvmaze.com/episodes/44911/star-trek-deep-space-nine-5x07-let-he-who-is-without-sin"
106,5,8,18 Nov 96,"Things Past","https://www.tvmaze.com/episodes/44912/star-trek-deep-space-nine-5x08-things-past"
107,5,9,25 Nov 96,"The Ascent","https://www.tvmaze.com/episodes/44913/star-trek-deep-space-nine-5x09-the-ascent"
108,5,10,30 Dec 96,"Rapture","https://www.tvmaze.com/episodes/44914/star-trek-deep-space-nine-5x10-rapture"
109,5,11,06 Jan 97,"The Darkness and the Light","https://www.tvmaze.com/episodes/44915/star-trek-deep-space-nine-5x11-the-darkness-and-the-light"
110,5,12,27 Jan 97,"The Begotten","https://www.tvmaze.com/episodes/44916/star-trek-deep-space-nine-5x12-the-begotten"
111,5,13,03 Feb 97,"For the Uniform","https://www.tvmaze.com/episodes/44917/star-trek-deep-space-nine-5x13-for-the-uniform"
112,5,14,10 Feb 97,"In Purgatory's Shadow","https://www.tvmaze.com/episodes/44918/star-trek-deep-space-nine-5x14-in-purgatorys-shadow"
113,5,15,17 Feb 97,"By Inferno's Light","https://www.tvmaze.com/episodes/44919/star-trek-deep-space-nine-5x15-by-infernos-light"
114,5,16,24 Feb 97,"Doctor Bashir, I Presume","https://www.tvmaze.com/episodes/44920/star-trek-deep-space-nine-5x16-doctor-bashir-i-presume"
115,5,17,31 Mar 97,"A Simple Investigation","https://www.tvmaze.com/episodes/44921/star-trek-deep-space-nine-5x17-a-simple-investigation"
116,5,18,07 Apr 97,"Business as Usual","https://www.tvmaze.com/episodes/44922/star-trek-deep-space-nine-5x18-business-as-usual"
117,5,19,14 Apr 97,"Ties of Blood and Water","https://www.tvmaze.com/episodes/44923/star-trek-deep-space-nine-5x19-ties-of-blood-and-water"
118,5,20,21 Apr 97,"Ferengi Love Songs","https://www.tvmaze.com/episodes/44924/star-trek-deep-space-nine-5x20-ferengi-love-songs"
119,5,21,28 Apr 97,"Soldiers of the Empire","https://www.tvmaze.com/episodes/44925/star-trek-deep-space-nine-5x21-soldiers-of-the-empire"
120,5,22,05 May 97,"Children of Time","https://www.tvmaze.com/episodes/44926/star-trek-deep-space-nine-5x22-children-of-time"
121,5,23,12 May 97,"Blaze of Glory","https://www.tvmaze.com/episodes/44927/star-trek-deep-space-nine-5x23-blaze-of-glory"
122,5,24,19 May 97,"Empok Nor","https://www.tvmaze.com/episodes/44928/star-trek-deep-space-nine-5x24-empok-nor"
