number,season,episode,airdate,title,link
152,6,26,21 Jun 93,"Descent","https://www.tvmaze.com/episodes/44607/star-trek-the-next-generation-6x26-descent"
153,7,1,20 Sep 93,"Descent, Part II","https://www.tvmaze.com/episodes/44608/star-trek-the-next-generation-7x01-descent-part-ii"
154,7,2,27 Sep 93,"Liaisons","https://www.tvmaze.com/episodes/44609/star-trek-the-next-generation-7x02-liaisons"
155,7,3,04 Oct 93,"Interface","https://www.tvmaze.com/episodes/44610/star-trek-the-next-generation-7x03-interface"
156,7,4,11 Oct 93,"Gambit, Part I","https://www.tvmaze.com/episodes/44611/star-trek-the-next-generation-7x04-gambit-part-i"
157,7,5,18 Oct 93,"Gambit, Part II","https://www.tvmaze.com/episodes/44612/star-trek-the-next-generation-7x05-gambit-part-ii"
158,7,6,25 Oct 93,"Phantasms","https://www.tvmaze.com/episodes/44613/star-trek-the-next-generation-7x06-phantasms"
159,7,7,01 Nov 93,"Dark Page","https://www.tvmaze.com/episodes/44614/star-trek-the-next-generation-7x07-dark-page"
160,7,8,08 Nov 93,"Attached","https://www.tvmaze.com/episodes/44615/star-trek-the-next-generation-7x08-attached"
161,7,9,15 Nov 93,"Force of Nature","https://www.tvmaze.com/episodes/44616/star-trek-the-next-generation-7x09-force-of-nature"
162,7,10,22 Nov 93,"Inheritance","https://www.tvmaze.com/episodes/44617/star-trek-the-next-generation-7x10-inheritance"
163,7,11,29 Nov 93,"Parallels","https://www.tvmaze.com/episodes/44618/star-trek-the-next-generation-7x11-parallels"
164,7,12,10 Jan 94,"The Pegasus","https://www.tvmaze.com/episodes/44619/star-trek-the-next-generation-7x12-the-pegasus"
165,7,13,17 Jan 94,"Homeward","https://www.tvmaze.com/episodes/44620/star-trek-the-next-generation-7x13-homeward"
166,7,14,31 Jan 94,"Sub Rosa","https://www.tvmaze.com/episodes/44621/star-trek-the-next-generation-7x14-sub-rosa"
167,7,15,07 Feb 94,"Lower Decks","https://www.tvmaze.com/episodes/44622/star-trek-the-next-generation-7x15-lower-decks"
168,7,16,14 Feb 94,"Thine Own Self","https://www.tvmaze.com/episodes/44623/star-trek-the-next-generation-7x16-thine-own-self"
169,7,17,21 Feb 94,"Masks","https://www.tvmaze.com/episodes/44624/star-trek-the-next-generation-7x17-masks"
170,7,18,28 Feb 94,"Eye of the Beholder","https://www.tvmaze.com/episodes/44625/star-trek-the-next-generation-7x18-eye-of-the-beholder"
171,7,19,21 Mar 94,"Genesis","https://www.tvmaze.com/episodes/44626/star-trek-the-next-generation-7x19-genesis"
172,7,20,28 Mar 94,"Journey's End","https://www.tvmaze.com/episodes/44627/star-trek-the-next-generation-7x20-journeys-end"
173,7,21,25 Apr 94,"Firstborn","https://www.tvmaze.com/episodes/44628/star-trek-the-next-generation-7x21-firstborn"
174,7,22,02 May 94,"Bloodlines","https://www.tvmaze.com/episodes/44629/star-trek-the-next-generation-7x22-bloodlines"
175,7,23,09 May 94,"Emergence","https://www.tvmaze.com/episodes/44630/star-trek-the-next-generation-7x23-emergence"
176,7,24,16 May 94,"Preemptive Strike","https://www.tvmaze.com/episodes/44631/star-trek-the-next-generation-7x24-preemptive-strike"
177,7,25,23 May 94,"All Good Things... (1)","https://www.tvmaze.com/episodes/44632/star-trek-the-next-generation-7x25-all-good-things-1"
178,7,26,23 May 94,"All Good Things... (2)","https://www.tvmaze.com/episodes/44633/star-trek-the-next-generation-7x26-all-good-things-2"
S07,7,0,23 May 94,"Journey's End: The Saga of Star Trek The Next Generation","https://www.tvmaze.com/episodes/44634/star-trek-the-next-generation-s07-special-journeys-end-the-saga-of-star-trek-the-next-generation"
